82.1%
1.png,3
10.png,2
100.png,4
11.png,1
12.png,1
13.png,2
14.png,2
15.png,2
16.png,4
17.png,4
18.png,2
19.png,1
2.png,2
20.png,2
21.png,4
22.png,3
23.png,5
24.png,1
25.png,1
26.png,3
27.png,5
28.png,3
29.png,1
3.png,2
30.png,2
31.png,1
32.png,4
33.png,5
34.png,1
35.png,1
36.png,1
37.png,1
38.png,1
39.png,5
4.png,2
40.png,3
41.png,3
42.png,1
43.png,3
44.png,1
45.png,2
46.png,3
47.png,1
48.png,1
49.png,3
5.png,1
50.png,2
51.png,4
52.png,1
53.png,3
54.png,3
55.png,4
56.png,3
57.png,3
58.png,4
59.png,3
6.png,2
60.png,1
61.png,1
62.png,1
63.png,4
64.png,4
65.png,4
66.png,1
67.png,4
68.png,3
69.png,4
7.png,1
70.png,3
71.png,4
72.png,0
73.png,4
74.png,4
75.png,0
76.png,3
77.png,4
78.png,3
79.png,3
8.png,5
80.png,4
81.png,3
82.png,3
83.png,1
84.png,1
85.png,4
86.png,4
87.png,3
88.png,4
89.png,3
9.png,5
90.png,1
91.png,4
92.png,5
93.png,4
94.png,1
95.png,4
96.png,3
97.png,3
98.png,4
99.png,4
